categoria,ordem,isbn,titulo,autor,editora,cover_url,origem_url
Best Literature in Portuguese,187,,Primeiro Caderno do Aluno de Poesia Oswald de Andrade,Oswald de Andrade,,,https://www.goodreads.com/book/show/2623806-primeiro-caderno-do-aluno-de-poesia-oswald-de-andrade
Best Literature in Portuguese,188,,In Illo Tempore,José Francisco Trindade Coelho,,,https://www.goodreads.com/book/show/9698173-in-illo-tempore
Best Literature in Portuguese,189,,Fogo Morto,José Lins do Rego,,,https://www.goodreads.com/book/show/22663194-fogo-morto
Best Literature in Portuguese,190,,A Paixão Segundo G.H.,Clarice Lispector,,,https://www.goodreads.com/book/show/56122908-a-paix-o-segundo-g-h
Best Literature in Portuguese,191,,O Barão de Lavos,Abel Botelho,,,https://www.goodreads.com/book/show/17280366-o-bar-o-de-lavos
Best Literature in Portuguese,192,,Um Pinguim na Garagem,Luís Caminha,,,https://www.goodreads.com/book/show/7029690-um-pinguim-na-garagem
Best Literature in Portuguese,193,,Contos de aprendiz,Carlos Drummond de Andrade,,,https://www.goodreads.com/book/show/13601022-contos-de-aprendiz
Best Literature in Portuguese,194,,A Coisa Não-Deus,Alexandre Soares Silva,,,https://www.goodreads.com/book/show/6339905-a-coisa-n-o-deus
Best Literature in Portuguese,195,,A Lã e a Neve,Ferreira de Castro,,,https://www.goodreads.com/book/show/6720155-a-l-e-a-neve
Best Literature in Portuguese,196,,Pau-Brasil,Oswald de Andrade,,,https://www.goodreads.com/book/show/1866553.Pau_Brasil
Best Literature in Portuguese,197,,Mudança,Vergílio Ferreira,,,https://www.goodreads.com/book/show/7658167-mudan-a
Best Literature in Portuguese,198,,Os Grão-Capitães,Jorge de Sena,,,https://www.goodreads.com/book/show/7675885-os-gr-o-capit-es
Best Literature in Portuguese,199,,O Vento Assobiando nas Gruas,Lídia Jorge,,,https://www.goodreads.com/book/show/5462859-o-vento-assobiando-nas-gruas
Best Literature in Portuguese,200,,Fios de Prata - Reconstruindo Sandman,Raphael Draccon,,,https://www.goodreads.com/book/show/15846096-fios-de-prata---reconstruindo-sandman
Best Literature in Portuguese,201,,O Homem Cordial,Sérgio Buarque de Holanda,,,https://www.goodreads.com/book/show/18368835-o-homem-cordial
